Scope
Manufacturer	Model
Tonicmint	com.tonicmint.CVPad

Remotable	Min	Max	Input type	Output type
Mode	0	3	Value	ValueOutput
Control X	0	4194304	Value	ValueOutput
Control Y	0	4194304	Value	ValueOutput
Mod Level X	0	4194304	Value	ValueOutput
Mod Level Y	0	4194304	Value	ValueOutput
Mod Source X	0	4	Value	ValueOutput
Mod Source Y	0	4	Value	ValueOutput
CV Out Routing 1	0	14	Value	ValueOutput
CV Out Routing 2	0	14	Value	ValueOutput
CV Out Routing 3	0	14	Value	ValueOutput
CV Out Routing 4	0	14	Value	ValueOutput
Param 1	0	4194304	Value	ValueOutput
Mod Level P1	0	4194304	Value	ValueOutput
Mod Source P1	0	4	Value	ValueOutput
Param 2	0	4194304	Value	ValueOutput
Mod Level P2	0	4194304	Value	ValueOutput
Mod Source P2	0	4	Value	ValueOutput
Param 3	0	4194304	Value	ValueOutput
Mod Level P3	0	4194304	Value	ValueOutput
Mod Source P3	0	4	Value	ValueOutput
Param 4	0	4194304	Value	ValueOutput
Mod Level P4	0	4194304	Value	ValueOutput
Mod Source P4	0	4	Value	ValueOutput
Param 5	0	4194304	Value	ValueOutput
Mod Level P5	0	4194304	Value	ValueOutput
Mod Source P5	0	4	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
