Scope
Manufacturer	Model
Tonicmint	com.tonicmint.CVWitch

Remotable	Min	Max	Input type	Output type
Treshold A	0	4194304	Value	ValueOutput
Treshold B	0	4194304	Value	ValueOutput
True Level	0	4194304	Value	ValueOutput
False Level	0	4194304	Value	ValueOutput
Operation 1	0	17	Value	ValueOutput
Operation 2	0	17	Value	ValueOutput
Operation 3	0	17	Value	ValueOutput
Operation 4	0	17	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
