Scope
Manufacturer	Model
Aftermath Audio	com.aftermathaudio.CV8X4CVGenerator

Remotable	Min	Max	Input type	Output type
CV1	0	4194304	Value	ValueOutput
CV2	0	4194304	Value	ValueOutput
CV3	0	4194304	Value	ValueOutput
CV4	0	4194304	Value	ValueOutput
CV5	0	4194304	Value	ValueOutput
CV6	0	4194304	Value	ValueOutput
CV7	0	4194304	Value	ValueOutput
CV8	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
