Scope
Manufacturer	Model
Pepin Hazan	com.pepinhazan.FRONT8

Remotable	Min	Max	Input type	Output type
Connection 1-1	0	1	Toggle	ValueOutput
Connection 1-2	0	1	Toggle	ValueOutput
Connection 1-3	0	1	Toggle	ValueOutput
Connection 1-4	0	1	Toggle	ValueOutput
Connection 1-5	0	1	Toggle	ValueOutput
Connection 1-6	0	1	Toggle	ValueOutput
Connection 1-7	0	1	Toggle	ValueOutput
Connection 1-8	0	1	Toggle	ValueOutput
Connection 2-1	0	1	Toggle	ValueOutput
Connection 2-2	0	1	Toggle	ValueOutput
Connection 2-3	0	1	Toggle	ValueOutput
Connection 2-4	0	1	Toggle	ValueOutput
Connection 2-5	0	1	Toggle	ValueOutput
Connection 2-6	0	1	Toggle	ValueOutput
Connection 2-7	0	1	Toggle	ValueOutput
Connection 2-8	0	1	Toggle	ValueOutput
Connection 3-1	0	1	Toggle	ValueOutput
Connection 3-2	0	1	Toggle	ValueOutput
Connection 3-3	0	1	Toggle	ValueOutput
Connection 3-4	0	1	Toggle	ValueOutput
Connection 3-5	0	1	Toggle	ValueOutput
Connection 3-6	0	1	Toggle	ValueOutput
Connection 3-7	0	1	Toggle	ValueOutput
Connection 3-8	0	1	Toggle	ValueOutput
Connection 4-1	0	1	Toggle	ValueOutput
Connection 4-2	0	1	Toggle	ValueOutput
Connection 4-3	0	1	Toggle	ValueOutput
Connection 4-4	0	1	Toggle	ValueOutput
Connection 4-5	0	1	Toggle	ValueOutput
Connection 4-6	0	1	Toggle	ValueOutput
Connection 4-7	0	1	Toggle	ValueOutput
Connection 4-8	0	1	Toggle	ValueOutput
Connection 5-1	0	1	Toggle	ValueOutput
Connection 5-2	0	1	Toggle	ValueOutput
Connection 5-3	0	1	Toggle	ValueOutput
Connection 5-4	0	1	Toggle	ValueOutput
Connection 5-5	0	1	Toggle	ValueOutput
Connection 5-6	0	1	Toggle	ValueOutput
Connection 5-7	0	1	Toggle	ValueOutput
Connection 5-8	0	1	Toggle	ValueOutput
Connection 6-1	0	1	Toggle	ValueOutput
Connection 6-2	0	1	Toggle	ValueOutput
Connection 6-3	0	1	Toggle	ValueOutput
Connection 6-4	0	1	Toggle	ValueOutput
Connection 6-5	0	1	Toggle	ValueOutput
Connection 6-6	0	1	Toggle	ValueOutput
Connection 6-7	0	1	Toggle	ValueOutput
Connection 6-8	0	1	Toggle	ValueOutput
Connection 7-1	0	1	Toggle	ValueOutput
Connection 7-2	0	1	Toggle	ValueOutput
Connection 7-3	0	1	Toggle	ValueOutput
Connection 7-4	0	1	Toggle	ValueOutput
Connection 7-5	0	1	Toggle	ValueOutput
Connection 7-6	0	1	Toggle	ValueOutput
Connection 7-7	0	1	Toggle	ValueOutput
Connection 7-8	0	1	Toggle	ValueOutput
Connection 8-1	0	1	Toggle	ValueOutput
Connection 8-2	0	1	Toggle	ValueOutput
Connection 8-3	0	1	Toggle	ValueOutput
Connection 8-4	0	1	Toggle	ValueOutput
Connection 8-5	0	1	Toggle	ValueOutput
Connection 8-6	0	1	Toggle	ValueOutput
Connection 8-7	0	1	Toggle	ValueOutput
Connection 8-8	0	1	Toggle	ValueOutput
Global Input 1 Amount	0	4194304	Value	ValueOutput
Amount 1-1	0	4194304	Value	ValueOutput
Amount 1-2	0	4194304	Value	ValueOutput
Amount 1-3	0	4194304	Value	ValueOutput
Amount 1-4	0	4194304	Value	ValueOutput
Amount 1-5	0	4194304	Value	ValueOutput
Amount 1-6	0	4194304	Value	ValueOutput
Amount 1-7	0	4194304	Value	ValueOutput
Amount 1-8	0	4194304	Value	ValueOutput
Global Input 2 Amount	0	4194304	Value	ValueOutput
