Scope
Manufacturer	Model
Red Rock Sound	ru.redrocksound.Measure

Remotable	Min	Max	Input type	Output type
Inputs	0	2	Value	ValueOutput
Display Mode	0	4	Value	ValueOutput
Peak Mode	0	2	Value	ValueOutput
Reset Max Peak	0	1	Toggle	ValueOutput
Reset Overs	0	1	Toggle	ValueOutput
Reset Phase	0	1	Toggle	ValueOutput
Scale Mode	0	7	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
