Scope
Manufacturer	Model
HaMu	se.hamu.ModSweeper

Remotable	Min	Max	Input type	Output type
Sweep Up	0	1	Toggle	ValueOutput
Step Up	0	1	Toggle	ValueOutput
Jump Up	0	1	Toggle	ValueOutput
Sweep Down	0	1	Toggle	ValueOutput
Step Down	0	1	Toggle	ValueOutput
Jump Down	0	1	Toggle	ValueOutput
Sweep Time	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
