Scope
Manufacturer	Model
Lectric Panda LLC	com.lectricpanda.PSQ1684

Remotable	Min	Max	Input type	Output type
Rate Free Hz	0	4194304	Value	ValueOutput
Rate Free Ms	0	4194304	Value	ValueOutput
Rate Sync	0	30	Value	ValueOutput
Pulse A1 Speed	0	95	Value	ValueOutput
Pulse A1 Grid Pattern	0	51	Value	ValueOutput
Pulse A1 Chaos	0	4194304	Value	ValueOutput
Pulse A1 Delay	0	96	Value	ValueOutput
Pulse A1 Phase	0	4194304	Value	ValueOutput
Pulse A1 Pulse Width	0	4194304	Value	ValueOutput
Pulse A1 Division	0	96	Value	ValueOutput
Pulse A1 Count Mode	0	1	Toggle	ValueOutput
Pulse A1 Euclidean Density	0	100	Value	ValueOutput
Pulse A1 Euclidean Steps	0	96	Value	ValueOutput
Pulse A1 Drum Pattern Density	0	191	Value	ValueOutput
Pulse A1 Drum Pattern X	0	72	Value	ValueOutput
Pulse A1 Drum Pattern Y	0	72	Value	ValueOutput
Pulse A1 Shift Register Bits	0	32	Value	ValueOutput
Pulse A1 Shift Register Pattern	0	675	Value	ValueOutput
Pulse A2 Speed	0	95	Value	ValueOutput
Pulse A2 Grid Pattern	0	51	Value	ValueOutput
Pulse A2 Chaos	0	4194304	Value	ValueOutput
Pulse A2 Delay	0	96	Value	ValueOutput
Pulse A2 Phase	0	4194304	Value	ValueOutput
Pulse A2 Pulse Width	0	4194304	Value	ValueOutput
Pulse A2 Division	0	96	Value	ValueOutput
Pulse A2 Count Mode	0	1	Toggle	ValueOutput
Pulse A2 Euclidean Density	0	100	Value	ValueOutput
Pulse A2 Euclidean Steps	0	96	Value	ValueOutput
Pulse A2 Drum Pattern Density	0	191	Value	ValueOutput
Pulse A2 Drum Pattern X	0	72	Value	ValueOutput
Pulse A2 Drum Pattern Y	0	72	Value	ValueOutput
Pulse A2 Shift Register Bits	0	32	Value	ValueOutput
Pulse A2 Shift Register Pattern	0	675	Value	ValueOutput
Pulse A3 Speed	0	95	Value	ValueOutput
Pulse A3 Grid Pattern	0	51	Value	ValueOutput
Pulse A3 Chaos	0	4194304	Value	ValueOutput
Pulse A3 Delay	0	96	Value	ValueOutput
Pulse A3 Phase	0	4194304	Value	ValueOutput
Pulse A3 Pulse Width	0	4194304	Value	ValueOutput
Pulse A3 Division	0	96	Value	ValueOutput
Pulse A3 Count Mode	0	1	Toggle	ValueOutput
Pulse A3 Euclidean Density	0	100	Value	ValueOutput
Pulse A3 Euclidean Steps	0	96	Value	ValueOutput
Pulse A3 Drum Pattern Density	0	191	Value	ValueOutput
Pulse A3 Drum Pattern X	0	72	Value	ValueOutput
Pulse A3 Drum Pattern Y	0	72	Value	ValueOutput
Pulse A3 Shift Register Bits	0	32	Value	ValueOutput
Pulse A3 Shift Register Pattern	0	675	Value	ValueOutput
Pulse A4 Speed	0	95	Value	ValueOutput
Pulse A4 Grid Pattern	0	51	Value	ValueOutput
Pulse A4 Chaos	0	4194304	Value	ValueOutput
Pulse A4 Delay	0	96	Value	ValueOutput
