Scope
Manufacturer	Model
Zvork	fr.zvork.VoltSL1

Remotable	Min	Max	Input type	Output type
set1_cv1	0	4194304	Value	ValueOutput
set1_cv2	0	4194304	Value	ValueOutput
set1_cv3	0	4194304	Value	ValueOutput
set1_cv4	0	4194304	Value	ValueOutput
set1_cv5	0	4194304	Value	ValueOutput
set1_cv6	0	4194304	Value	ValueOutput
set1_cv7	0	4194304	Value	ValueOutput
set1_cv8	0	4194304	Value	ValueOutput
set1_cv9	0	4194304	Value	ValueOutput
set1_cv10	0	4194304	Value	ValueOutput
set1_cv11	0	4194304	Value	ValueOutput
set1_cv12	0	4194304	Value	ValueOutput
set1_cv13	0	4194304	Value	ValueOutput
set1_cv14	0	4194304	Value	ValueOutput
set1_cv15	0	4194304	Value	ValueOutput
set1_cv16	0	4194304	Value	ValueOutput
set1_cv17	0	4194304	Value	ValueOutput
set1_cv18	0	4194304	Value	ValueOutput
set1_cv19	0	4194304	Value	ValueOutput
set1_cv20	0	4194304	Value	ValueOutput
set1_cv21	0	4194304	Value	ValueOutput
set1_cv22	0	4194304	Value	ValueOutput
set1_cv23	0	4194304	Value	ValueOutput
set1_cv24	0	4194304	Value	ValueOutput
Set A - Activate	0	1	Toggle	ValueOutput
set2_cv1	0	4194304	Value	ValueOutput
set2_cv2	0	4194304	Value	ValueOutput
set2_cv3	0	4194304	Value	ValueOutput
set2_cv4	0	4194304	Value	ValueOutput
set2_cv5	0	4194304	Value	ValueOutput
set2_cv6	0	4194304	Value	ValueOutput
set2_cv7	0	4194304	Value	ValueOutput
set2_cv8	0	4194304	Value	ValueOutput
set2_cv9	0	4194304	Value	ValueOutput
set2_cv10	0	4194304	Value	ValueOutput
set2_cv11	0	4194304	Value	ValueOutput
set2_cv12	0	4194304	Value	ValueOutput
set2_cv13	0	4194304	Value	ValueOutput
set2_cv14	0	4194304	Value	ValueOutput
set2_cv15	0	4194304	Value	ValueOutput
set2_cv16	0	4194304	Value	ValueOutput
set2_cv17	0	4194304	Value	ValueOutput
set2_cv18	0	4194304	Value	ValueOutput
set2_cv19	0	4194304	Value	ValueOutput
set2_cv20	0	4194304	Value	ValueOutput
set2_cv21	0	4194304	Value	ValueOutput
set2_cv22	0	4194304	Value	ValueOutput
set2_cv23	0	4194304	Value	ValueOutput
set2_cv24	0	4194304	Value	ValueOutput
Set B - Activate	0	1	Toggle	ValueOutput
set3_cv1	0	4194304	Value	ValueOutput
set3_cv2	0	4194304	Value	ValueOutput
set3_cv3	0	4194304	Value	ValueOutput
set3_cv4	0	4194304	Value	ValueOutput
set3_cv5	0	4194304	Value	ValueOutput
set3_cv6	0	4194304	Value	ValueOutput
set3_cv7	0	4194304	Value	ValueOutput
set3_cv8	0	4194304	Value	ValueOutput
set3_cv9	0	4194304	Value	ValueOutput
set3_cv10	0	4194304	Value	ValueOutput
set3_cv11	0	4194304	Value	ValueOutput
set3_cv12	0	4194304	Value	ValueOutput
set3_cv13	0	4194304	Value	ValueOutput
set3_cv14	0	4194304	Value	ValueOutput
set3_cv15	0	4194304	Value	ValueOutput
set3_cv16	0	4194304	Value	ValueOutput
set3_cv17	0	4194304	Value	ValueOutput
set3_cv18	0	4194304	Value	ValueOutput
set3_cv19	0	4194304	Value	ValueOutput
set3_cv20	0	4194304	Value	ValueOutput
set3_cv21	0	4194304	Value	ValueOutput
set3_cv22	0	4194304	Value	ValueOutput
set3_cv23	0	4194304	Value	ValueOutput
set3_cv24	0	4194304	Value	ValueOutput
Set C - Activate	0	1	Toggle	ValueOutput
set4_cv1	0	4194304	Value	ValueOutput
set4_cv2	0	4194304	Value	ValueOutput
set4_cv3	0	4194304	Value	ValueOutput
set4_cv4	0	4194304	Value	ValueOutput
set4_cv5	0	4194304	Value	ValueOutput
set4_cv6	0	4194304	Value	ValueOutput
set4_cv7	0	4194304	Value	ValueOutput
set4_cv8	0	4194304	Value	ValueOutput
set4_cv9	0	4194304	Value	ValueOutput
set4_cv10	0	4194304	Value	ValueOutput
set4_cv11	0	4194304	Value	ValueOutput
set4_cv12	0	4194304	Value	ValueOutput
set4_cv13	0	4194304	Value	ValueOutput
set4_cv14	0	4194304	Value	ValueOutput
set4_cv15	0	4194304	Value	ValueOutput
set4_cv16	0	4194304	Value	ValueOutput
set4_cv17	0	4194304	Value	ValueOutput
set4_cv18	0	4194304	Value	ValueOutput
set4_cv19	0	4194304	Value	ValueOutput
set4_cv20	0	4194304	Value	ValueOutput
set4_cv21	0	4194304	Value	ValueOutput
set4_cv22	0	4194304	Value	ValueOutput
set4_cv23	0	4194304	Value	ValueOutput
set4_cv24	0	4194304	Value	ValueOutput
Set D - Activate	0	1	Toggle	ValueOutput
set5_cv1	0	4194304	Value	ValueOutput
set5_cv2	0	4194304	Value	ValueOutput
set5_cv3	0	4194304	Value	ValueOutput
set5_cv4	0	4194304	Value	ValueOutput
set5_cv5	0	4194304	Value	ValueOutput
set5_cv6	0	4194304	Value	ValueOutput
set5_cv7	0	4194304	Value	ValueOutput
set5_cv8	0	4194304	Value	ValueOutput
set5_cv9	0	4194304	Value	ValueOutput
set5_cv10	0	4194304	Value	ValueOutput
set5_cv11	0	4194304	Value	ValueOutput
set5_cv12	0	4194304	Value	ValueOutput
set5_cv13	0	4194304	Value	ValueOutput
set5_cv14	0	4194304	Value	ValueOutput
set5_cv15	0	4194304	Value	ValueOutput
set5_cv16	0	4194304	Value	ValueOutput
set5_cv17	0	4194304	Value	ValueOutput
set5_cv18	0	4194304	Value	ValueOutput
set5_cv19	0	4194304	Value	ValueOutput
set5_cv20	0	4194304	Value	ValueOutput
set5_cv21	0	4194304	Value	ValueOutput
set5_cv22	0	4194304	Value	ValueOutput
set5_cv23	0	4194304	Value	ValueOutput
set5_cv24	0	4194304	Value	ValueOutput
Set E - Activate	0	1	Toggle	ValueOutput
set6_cv1	0	4194304	Value	ValueOutput
set6_cv2	0	4194304	Value	ValueOutput
set6_cv3	0	4194304	Value	ValueOutput
set6_cv4	0	4194304	Value	ValueOutput
set6_cv5	0	4194304	Value	ValueOutput
set6_cv6	0	4194304	Value	ValueOutput
set6_cv7	0	4194304	Value	ValueOutput
set6_cv8	0	4194304	Value	ValueOutput
set6_cv9	0	4194304	Value	ValueOutput
set6_cv10	0	4194304	Value	ValueOutput
set6_cv11	0	4194304	Value	ValueOutput
set6_cv12	0	4194304	Value	ValueOutput
set6_cv13	0	4194304	Value	ValueOutput
set6_cv14	0	4194304	Value	ValueOutput
set6_cv15	0	4194304	Value	ValueOutput
set6_cv16	0	4194304	Value	ValueOutput
set6_cv17	0	4194304	Value	ValueOutput
set6_cv18	0	4194304	Value	ValueOutput
set6_cv19	0	4194304	Value	ValueOutput
set6_cv20	0	4194304	Value	ValueOutput
set6_cv21	0	4194304	Value	ValueOutput
set6_cv22	0	4194304	Value	ValueOutput
set6_cv23	0	4194304	Value	ValueOutput
set6_cv24	0	4194304	Value	ValueOutput
Set F - Activate	0	1	Toggle	ValueOutput
set7_cv1	0	4194304	Value	ValueOutput
set7_cv2	0	4194304	Value	ValueOutput
set7_cv3	0	4194304	Value	ValueOutput
set7_cv4	0	4194304	Value	ValueOutput
set7_cv5	0	4194304	Value	ValueOutput
set7_cv6	0	4194304	Value	ValueOutput
set7_cv7	0	4194304	Value	ValueOutput
set7_cv8	0	4194304	Value	ValueOutput
set7_cv9	0	4194304	Value	ValueOutput
set7_cv10	0	4194304	Value	ValueOutput
set7_cv11	0	4194304	Value	ValueOutput
set7_cv12	0	4194304	Value	ValueOutput
set7_cv13	0	4194304	Value	ValueOutput
set7_cv14	0	4194304	Value	ValueOutput
set7_cv15	0	4194304	Value	ValueOutput
set7_cv16	0	4194304	Value	ValueOutput
set7_cv17	0	4194304	Value	ValueOutput
set7_cv18	0	4194304	Value	ValueOutput
set7_cv19	0	4194304	Value	ValueOutput
set7_cv20	0	4194304	Value	ValueOutput
set7_cv21	0	4194304	Value	ValueOutput
set7_cv22	0	4194304	Value	ValueOutput
set7_cv23	0	4194304	Value	ValueOutput
set7_cv24	0	4194304	Value	ValueOutput
Set G - Activate	0	1	Toggle	ValueOutput
set8_cv1	0	4194304	Value	ValueOutput
set8_cv2	0	4194304	Value	ValueOutput
set8_cv3	0	4194304	Value	ValueOutput
set8_cv4	0	4194304	Value	ValueOutput
set8_cv5	0	4194304	Value	ValueOutput
set8_cv6	0	4194304	Value	ValueOutput
set8_cv7	0	4194304	Value	ValueOutput
set8_cv8	0	4194304	Value	ValueOutput
set8_cv9	0	4194304	Value	ValueOutput
set8_cv10	0	4194304	Value	ValueOutput
set8_cv11	0	4194304	Value	ValueOutput
set8_cv12	0	4194304	Value	ValueOutput
set8_cv13	0	4194304	Value	ValueOutput
set8_cv14	0	4194304	Value	ValueOutput
set8_cv15	0	4194304	Value	ValueOutput
set8_cv16	0	4194304	Value	ValueOutput
set8_cv17	0	4194304	Value	ValueOutput
set8_cv18	0	4194304	Value	ValueOutput
set8_cv19	0	4194304	Value	ValueOutput
set8_cv20	0	4194304	Value	ValueOutput
set8_cv21	0	4194304	Value	ValueOutput
set8_cv22	0	4194304	Value	ValueOutput
set8_cv23	0	4194304	Value	ValueOutput
set8_cv24	0	4194304	Value	ValueOutput
Set H - Activate	0	1	Toggle	ValueOutput
set9_cv1	0	4194304	Value	ValueOutput
set9_cv2	0	4194304	Value	ValueOutput
set9_cv3	0	4194304	Value	ValueOutput
set9_cv4	0	4194304	Value	ValueOutput
set9_cv5	0	4194304	Value	ValueOutput
set9_cv6	0	4194304	Value	ValueOutput
set9_cv7	0	4194304	Value	ValueOutput
set9_cv8	0	4194304	Value	ValueOutput
set9_cv9	0	4194304	Value	ValueOutput
set9_cv10	0	4194304	Value	ValueOutput
set9_cv11	0	4194304	Value	ValueOutput
set9_cv12	0	4194304	Value	ValueOutput
set9_cv13	0	4194304	Value	ValueOutput
set9_cv14	0	4194304	Value	ValueOutput
set9_cv15	0	4194304	Value	ValueOutput
set9_cv16	0	4194304	Value	ValueOutput
set9_cv17	0	4194304	Value	ValueOutput
set9_cv18	0	4194304	Value	ValueOutput
set9_cv19	0	4194304	Value	ValueOutput
set9_cv20	0	4194304	Value	ValueOutput
set9_cv21	0	4194304	Value	ValueOutput
set9_cv22	0	4194304	Value	ValueOutput
set9_cv23	0	4194304	Value	ValueOutput
set9_cv24	0	4194304	Value	ValueOutput
Set I - Activate	0	1	Toggle	ValueOutput
set10_cv1	0	4194304	Value	ValueOutput
set10_cv2	0	4194304	Value	ValueOutput
set10_cv3	0	4194304	Value	ValueOutput
set10_cv4	0	4194304	Value	ValueOutput
set10_cv5	0	4194304	Value	ValueOutput
set10_cv6	0	4194304	Value	ValueOutput
set10_cv7	0	4194304	Value	ValueOutput
set10_cv8	0	4194304	Value	ValueOutput
set10_cv9	0	4194304	Value	ValueOutput
set10_cv10	0	4194304	Value	ValueOutput
set10_cv11	0	4194304	Value	ValueOutput
